1-30 d,1-30 రోజులు
1. Which pump?,1. ఏ పంప్?
10 digits starting 6-9,6-9 తో మొదలయ్యే 10 అంకెలు
2. The KUMAR invoice,2. KUMAR ఇన్‌వాయిస్
2. What is happening,2. ఏం జరుగుతోంది
2. Which parts failed,2. ఏ పార్ట్‌లు పోయాయి
2. Your bill to the customer,2. కస్టమర్‌కు మీ బిల్లు
3-Plunger Pumps,3-ప్లంజర్ పంపులు
3. What the technician found,3. టెక్నీషియన్ ఏం కనుగొన్నారు
3. Who bought it,3. ఎవరు కొన్నారు
31-60 d,31-60 రోజులు
4. Where it is installed,4. ఎక్కడ ఇన్‌స్టాల్ చేశారు
"5-star rated BLDC fans, junction boxes and steel furniture","5-స్టార్ రేటెడ్ BLDC ఫ్యాన్లు, జంక్షన్ బాక్సులు, స్టీల్ ఫర్నిచర్"
60+ d,60+ రోజులు
<span class='h4'><b>Dealer Desk</b></span>,<span class='h4'><b>డీలర్ డెస్క్</b></span>
<span class='h4'><b>How to use this screen</b></span>,<span class='h4'><b>ఈ స్క్రీన్‌ను ఎలా వాడాలి</b></span>
<span class='h4'><b>KUMAR Masters</b></span>,<span class='h4'><b>KUMAR మాస్టర్లు</b></span>
<span class='h4'><b>Management</b></span>,<span class='h4'><b>మేనేజ్‌మెంట్</b></span>
<span class='h4'><b>Reports & Masters</b></span>,<span class='h4'><b>రిపోర్టులు & మాస్టర్లు</b></span>
<span class='h4'><b>Service Desk</b></span>,<span class='h4'><b>సర్వీస్ డెస్క్</b></span>
<span class='h4'><b>Shortcuts</b></span>,<span class='h4'><b>షార్ట్‌కట్‌లు</b></span>
<span class='h4'><b>Stock &amp; Manufacturing</b></span>,<span class='h4'><b>స్టాక్ &amp; తయారీ</b></span>
<span class='h4'><b>Traceability &amp; Quality</b></span>,<span class='h4'><b>ట్రేసబిలిటీ &amp; నాణ్యత</b></span>
<span class='h4'><b>Warranty &amp; Claims</b></span>,<span class='h4'><b>వారంటీ &amp; క్లెయిమ్‌లు</b></span>
A CSV with the right columns and two worked examples taken from your own masters. Delete the examples before you upload.,"సరైన కాలమ్‌లతో, మీ సొంత మాస్టర్ల నుండి తీసిన రెండు నమూనా వరుసలతో ఉన్న CSV. అప్‌లోడ్ చేసే ముందు నమూనాలను తొలగించండి."
A KUMAR branch invoices the customer itself. An authorised distributor buys on our invoice and raises its own to the customer - and the warranty is ours in both cases.,"KUMAR బ్రాంచ్ కస్టమర్‌కు తనే ఇన్‌వాయిస్ ఇస్తుంది. అధీకృత డిస్ట్రిబ్యూటర్ మన ఇన్‌వాయిస్ మీద కొని, కస్టమర్‌కు తన సొంత ఇన్‌వాయిస్ ఇస్తారు - రెండు సందర్భాల్లోనూ వారంటీ మనదే."
A complaint against one physical pump. Enter the serial and everything else fills itself.,"ఒక పంప్ మీద ఫిర్యాదు. సీరియల్ నంబర్ ఇవ్వండి, మిగిలినవన్నీ వాటంతట అవే నిండిపోతాయి."
A customer has a problem. We tell you at once if the visit is free.,కస్టమర్‌కు సమస్య ఉంది. సందర్శన ఉచితమా కాదా వెంటనే చెబుతాం.
A sale date needs a dealer - who sold it?,అమ్మిన తేదీకి డీలర్ కావాలి - ఎవరు అమ్మారు?
Abbreviation,సంక్షిప్త రూపం
Absent,గైర్హాజరు
Absent Days,గైర్హాజరు రోజులు
Accounts Payable,చెల్లించాల్సిన బాకీలు
Accounts Receivable,రావాల్సిన బాకీలు
Accounts User,అకౌంట్స్ యూజర్
Across the whole network,మొత్తం నెట్‌వర్క్ అంతటా
Across {0} departments,{0} విభాగాల్లో
Action Taken,తీసుకున్న చర్య
Active,వాడుకలో
Add Part,పార్ట్ జోడించు
Add Standard Duty Points,ప్రామాణిక డ్యూటీ పాయింట్లను జోడించు
Add Standard Elements,ప్రామాణిక మూలకాలను జోడించు
Address,చిరునామా
Agricultural Monobloc,వ్యవసాయ మోనోబ్లాక్
Agriculture,వ్యవసాయం
All,అన్నీ
All Dealers,అన్ని డీలర్లు
All Elements Within Spec,అన్ని మూలకాలు స్పెక్ లోపలే
Allow Dealer Backdated Registration (Days),డీలర్ వెనుక తేదీ రిజిస్ట్రేషన్ (రోజులు)
Already Registered,ఇప్పటికే రిజిస్టర్ అయింది
Already on file,ఇప్పటికే ఉన్నవి
Also created as a Batch so castings can carry it,కాస్టింగ్‌లు దీన్ని మోసుకెళ్ళేలా బ్యాచ్‌గా కూడా సృష్టించబడుతుంది
Aluminium Die Cast,అల్యూమినియం డై కాస్ట్
Amended From,సవరించిన మూలం
Amount,మొత్తం
Analysis,విశ్లేషణ
Any status,ఏ స్థితి అయినా
Application,ఉపయోగం
Approved Amount,ఆమోదించిన మొత్తం
Approved By,ఆమోదించినవారు
